datetime,정답,예측
2019-01-01,147,151
2019-01-02,284,261
2019-01-03,238,216
2019-01-04,222,207
2019-01-05,231,231
2019-01-06,302,244
2019-01-07,218,190
2019-01-08,261,202
2019-01-09,324,193
2019-01-10,278,207
2019-01-11,474,325
2019-01-12,254,178
2019-01-13,440,281
2019-01-14,233,196
2019-01-15,324,197
2019-01-16,474,366
2019-01-17,225,160
2019-01-18,469,350
2019-01-19,364,273
2019-01-20,391,203
2019-01-21,314,175
2019-01-22,269,235
2019-01-23,239,202
2019-01-24,138,98
2019-01-25,264,194
2019-01-26,160,144
2019-01-27,203,174
2019-01-28,276,266
2019-01-29,332,213
2019-01-30,502,401
2019-01-31,383,304
2019-02-01,493,417
2019-02-02,425,393
2019-02-03,275,129
2019-02-04,267,279
2019-02-05,142,144
2019-02-06,362,310
2019-02-07,207,148
2019-02-08,318,213
2019-02-09,275,186
2019-02-10,216,174
2019-02-11,226,205
2019-02-12,198,151
2019-02-13,204,236
2019-02-14,214,154
2019-02-15,403,282
2019-02-16,352,202
2019-02-17,290,167
2019-02-18,244,221
2019-02-19,260,206
2019-02-20,249,269
2019-02-21,223,212
2019-02-22,263,230
2019-02-23,213,186
2019-02-24,297,224
2019-02-25,174,155
2019-02-26,200,145
2019-02-27,191,229
2019-02-28,253,165
2019-03-01,318,208
2019-03-02,186,164
2019-03-03,161,134
2019-03-04,212,149
2019-03-05,229,173
2019-03-06,311,297
2019-03-07,267,157
2019-03-08,375,270
2019-03-09,190,175
2019-03-10,343,248
2019-03-11,204,178
2019-03-12,488,243
2019-03-13,315,343
2019-03-14,311,159
2019-03-15,456,303
2019-03-16,338,291
2019-03-17,249,157
2019-03-18,343,337
2019-03-19,232,205
2019-03-20,267,344
2019-03-21,350,211
2019-03-22,473,335
2019-03-23,258,210
2019-03-24,334,269
2019-03-25,221,230
2019-03-26,308,175
2019-03-27,518,413
2019-03-28,289,171
2019-03-29,590,357
2019-03-30,307,263
2019-03-31,401,264
2019-04-01,209,251
2019-04-02,401,278
2019-04-03,357,374
2019-04-04,428,343
2019-04-05,424,332
2019-04-06,173,232
2019-04-07,250,205
2019-04-08,237,312
2019-04-09,405,296
2019-04-10,444,390
2019-04-11,354,232
2019-04-12,507,428
2019-04-13,279,241
2019-04-14,409,273
2019-04-15,205,221
2019-04-16,379,286
2019-04-17,415,338
2019-04-18,420,324
2019-04-19,473,405
2019-04-20,457,410
2019-04-21,283,250
2019-04-22,270,316
2019-04-23,415,330
2019-04-24,339,424
2019-04-25,485,330
2019-04-26,460,405
2019-04-27,314,329
2019-04-28,321,274
2019-04-29,255,434
2019-04-30,381,351
2019-05-01,252,354
2019-05-02,330,413
2019-05-03,471,439
2019-05-04,438,435
2019-05-05,437,271
2019-05-06,190,235
2019-05-07,582,350
2019-05-08,279,389
2019-05-09,519,329
2019-05-10,625,530
2019-05-11,397,377
2019-05-12,467,374
2019-05-13,246,221
2019-05-14,578,431
2019-05-15,358,434
2019-05-16,489,333
2019-05-17,596,464
2019-05-18,459,433
2019-05-19,475,302
2019-05-20,268,284
2019-05-21,486,443
2019-05-22,372,446
2019-05-23,456,440
2019-05-24,450,422
2019-05-25,502,439
2019-05-26,390,277
2019-05-27,260,209
