datetime,정답,예측
2019-01-01,147,141
2019-01-02,284,258
2019-01-03,238,214
2019-01-04,222,211
2019-01-05,231,225
2019-01-06,302,238
2019-01-07,218,196
2019-01-08,261,206
2019-01-09,324,187
2019-01-10,278,204
2019-01-11,474,314
2019-01-12,254,178
2019-01-13,440,266
2019-01-14,233,199
2019-01-15,324,189
2019-01-16,474,368
2019-01-17,225,161
2019-01-18,469,350
2019-01-19,364,281
2019-01-20,391,211
2019-01-21,314,175
2019-01-22,269,228
2019-01-23,239,202
2019-01-24,138,101
2019-01-25,264,188
2019-01-26,160,144
2019-01-27,203,178
2019-01-28,276,281
2019-01-29,332,206
2019-01-30,502,409
2019-01-31,383,306
2019-02-01,493,419
2019-02-02,425,397
2019-02-03,275,133
2019-02-04,267,265
2019-02-05,142,132
2019-02-06,362,302
2019-02-07,207,147
2019-02-08,318,227
2019-02-09,275,185
2019-02-10,216,167
2019-02-11,226,204
2019-02-12,198,157
2019-02-13,204,232
2019-02-14,214,161
2019-02-15,403,288
2019-02-16,352,202
2019-02-17,290,178
2019-02-18,244,210
2019-02-19,260,217
2019-02-20,249,270
2019-02-21,223,209
2019-02-22,263,240
2019-02-23,213,183
2019-02-24,297,228
2019-02-25,174,153
2019-02-26,200,140
2019-02-27,191,222
2019-02-28,253,170
2019-03-01,318,204
2019-03-02,186,162
2019-03-03,161,136
2019-03-04,212,160
2019-03-05,229,170
2019-03-06,311,294
2019-03-07,267,154
2019-03-08,375,256
2019-03-09,190,174
2019-03-10,343,243
2019-03-11,204,181
2019-03-12,488,236
2019-03-13,315,346
2019-03-14,311,157
2019-03-15,456,303
2019-03-16,338,286
2019-03-17,249,164
2019-03-18,343,351
2019-03-19,232,206
2019-03-20,267,348
2019-03-21,350,217
2019-03-22,473,331
2019-03-23,258,220
2019-03-24,334,264
2019-03-25,221,229
2019-03-26,308,175
2019-03-27,518,415
2019-03-28,289,167
2019-03-29,590,353
2019-03-30,307,265
2019-03-31,401,264
2019-04-01,209,249
2019-04-02,401,296
2019-04-03,357,374
2019-04-04,428,335
2019-04-05,424,322
2019-04-06,173,232
2019-04-07,250,211
2019-04-08,237,304
2019-04-09,405,293
2019-04-10,444,382
2019-04-11,354,242
2019-04-12,507,432
2019-04-13,279,257
2019-04-14,409,267
2019-04-15,205,220
2019-04-16,379,291
2019-04-17,415,334
2019-04-18,420,319
2019-04-19,473,404
2019-04-20,457,409
2019-04-21,283,252
2019-04-22,270,324
2019-04-23,415,345
2019-04-24,339,416
2019-04-25,485,328
2019-04-26,460,410
2019-04-27,314,346
2019-04-28,321,271
2019-04-29,255,433
2019-04-30,381,340
2019-05-01,252,355
2019-05-02,330,403
2019-05-03,471,439
2019-05-04,438,438
2019-05-05,437,274
2019-05-06,190,236
2019-05-07,582,349
2019-05-08,279,389
2019-05-09,519,335
2019-05-10,625,531
2019-05-11,397,385
2019-05-12,467,376
2019-05-13,246,213
2019-05-14,578,415
2019-05-15,358,431
2019-05-16,489,317
2019-05-17,596,456
2019-05-18,459,436
2019-05-19,475,303
2019-05-20,268,284
2019-05-21,486,431
2019-05-22,372,445
2019-05-23,456,441
2019-05-24,450,421
2019-05-25,502,445
2019-05-26,390,280
2019-05-27,260,204
2019-05-28,583,547
2019-05-29,281,384
2019-05-30,505,366
2019-05-31,663,468
2019-06-01,395,358
2019-06-02,506,370
2019-06-03,242,201
2019-06-04,368,258
2019-06-05,441,379
2019-06-06,426,418
2019-06-07,514,427
2019-06-08,248,380
2019-06-09,296,312
2019-06-10,277,311
2019-06-11,505,427
2019-06-12,267,380
2019-06-13,260,267
2019-06-14,284,355
2019-06-15,431,464
2019-06-16,212,202
2019-06-17,142,171
2019-06-18,355,396
2019-06-19,256,377
2019-06-20,311,320
2019-06-21,390,398
2019-06-22,382,418
2019-06-23,203,179
2019-06-24,121,163
2019-06-25,398,383
2019-06-26,335,356
2019-06-27,250,249
2019-06-28,502,415
2019-06-29,417,395
2019-06-30,299,223
2019-07-01,159,124
2019-07-02,238,265
2019-07-03,197,396
2019-07-04,260,300
2019-07-05,254,293
2019-07-06,361,436
2019-07-07,218,217
2019-07-08,150,187
2019-07-09,179,307
2019-07-10,226,341
2019-07-11,258,227
2019-07-12,219,306
2019-07-13,389,448
2019-07-14,326,244
