datetime,정답,예측
2019-01-01,147,133
2019-01-02,284,285
2019-01-03,238,184
2019-01-04,222,221
2019-01-05,231,190
2019-01-06,302,243
2019-01-07,218,184
2019-01-08,261,185
2019-01-09,324,170
2019-01-10,278,205
2019-01-11,474,314
2019-01-12,254,178
2019-01-13,440,276
2019-01-14,233,179
2019-01-15,324,190
2019-01-16,474,348
2019-01-17,225,165
2019-01-18,469,339
2019-01-19,364,291
2019-01-20,391,198
2019-01-21,314,176
2019-01-22,269,212
2019-01-23,239,199
2019-01-24,138,123
2019-01-25,264,174
2019-01-26,160,150
2019-01-27,203,171
2019-01-28,276,259
2019-01-29,332,210
2019-01-30,502,388
2019-01-31,383,287
2019-02-01,493,385
2019-02-02,425,376
2019-02-03,275,161
2019-02-04,267,238
2019-02-05,142,127
2019-02-06,362,315
2019-02-07,207,141
2019-02-08,318,212
2019-02-09,275,181
2019-02-10,216,167
2019-02-11,226,191
2019-02-12,198,148
2019-02-13,204,215
2019-02-14,214,153
2019-02-15,403,276
2019-02-16,352,182
2019-02-17,290,169
2019-02-18,244,203
2019-02-19,260,190
2019-02-20,249,260
2019-02-21,223,195
2019-02-22,263,227
2019-02-23,213,184
2019-02-24,297,196
2019-02-25,174,156
2019-02-26,200,141
2019-02-27,191,226
2019-02-28,253,168
2019-03-01,318,234
2019-03-02,186,173
2019-03-03,161,125
2019-03-04,212,165
2019-03-05,229,170
2019-03-06,311,316
2019-03-07,267,155
2019-03-08,375,271
2019-03-09,190,178
2019-03-10,343,250
2019-03-11,204,180
2019-03-12,488,232
2019-03-13,315,343
2019-03-14,311,151
2019-03-15,456,297
2019-03-16,338,308
2019-03-17,249,155
2019-03-18,343,339
2019-03-19,232,191
2019-03-20,267,335
2019-03-21,350,212
2019-03-22,473,321
2019-03-23,258,200
2019-03-24,334,256
2019-03-25,221,239
2019-03-26,308,165
2019-03-27,518,398
2019-03-28,289,170
2019-03-29,590,343
2019-03-30,307,253
2019-03-31,401,287
2019-04-01,209,238
2019-04-02,401,284
2019-04-03,357,327
2019-04-04,428,340
2019-04-05,424,293
2019-04-06,173,220
2019-04-07,250,200
2019-04-08,237,302
2019-04-09,405,280
2019-04-10,444,346
