Id,Prediction
0,3725826.3264964446
1,3146651.8569655623
2,3390739.3931036047
3,3446229.501613906
4,4035321.177756211
5,3917497.914383618
6,3860506.9408087446
7,3774720.546438473
8,5302501.710830635
9,2458403.1708159167
10,5089980.766544987
11,4506948.370869107
12,4064942.437577208
13,3733047.5637641996
14,4384710.80255508
15,3904788.6085037217
16,3676174.250058393
17,3789987.094277136
18,6679014.344222969
19,2894851.6917251963
20,1879701.4968636155
21,5208074.509458283
22,4137694.016869521
23,4565621.906755365
24,7912009.144879078
25,3885771.9653598936
26,3771528.378725116
27,4819459.3912341315
28,3533772.5164821227
29,4661479.744087343
30,4022716.883963818
31,2438835.950980124
32,3695513.094193287
33,4985926.824604026
34,2606198.5178536796
35,5154142.62710877
36,4087937.380912825
37,4445214.644884897
38,2903558.0708860024
39,4111781.5127705378
40,4765562.75351112
41,4215395.61653743
42,4374733.694350746
43,4706493.648226429
44,5190028.088600836
45,4291371.448728162
46,3510632.4829105427
47,2182593.336554495
48,4845142.808661967
49,4602240.276592989
50,3700071.285527526
51,2913900.131988963
52,4992146.4678827645
53,2961746.545007997
54,2966025.3707033447
55,4829185.612857595
56,6515889.100816492
57,3534487.349717665
58,4141246.7659514886
59,4974806.590939428
60,2567822.0078909253
61,3090662.6617052946
62,3515344.601945
63,4140129.7212609355
64,4463961.178111096
65,6098943.722347762
66,4892041.83826642
67,6712333.3900585575
68,5270508.908534943
69,4838114.769701977
70,4357010.737584181
71,2101063.228873958
72,4198850.632982407
73,4268127.778207408
74,4670175.987992563
75,3738081.338103737
76,4159854.0908349156
77,4853695.604659985
78,5151324.131588462
79,4016009.356477208
80,4993301.933021862
81,5829224.847000344
82,3484808.09413558
83,4384233.228835125
84,5899136.761716892
85,1857114.5516908765
86,4450348.087986085
87,5996904.043006995
88,4123770.0110569918
89,3225638.864788177
90,4931398.561439663
91,3913576.4385937583
92,4552789.817722089
93,3566365.023109199
94,7745272.381025637
95,2594072.327233433
96,4237668.864527726
97,5281620.109048739
98,3845465.604349623
99,4719495.6846184805
100,4417964.965500372
101,1871505.5739549948
102,3834978.6631377903
103,3653278.185501381
104,3110942.063330402
105,2015988.8778336176
106,4143840.0903744637
