Id,Prediction
0,3909892.130447166
1,3355505.40142365
2,3514713.961045053
3,3400889.68292629
4,4304248.6931280885
5,4048067.837552684
6,3478704.1586263943
7,3104435.0884281537
8,4324408.866330098
9,2168266.872643283
10,4897755.817110725
11,4518519.200545275
12,4212407.665167703
13,3362053.5535167367
14,4312848.120830793
15,4490195.0427458
16,4584520.987111534
17,4353076.091238455
18,5621425.892566115
19,3061847.0552068856
20,1936830.1309263979
21,6444754.120593589
22,4239379.958703784
23,6793787.546072291
24,4064308.398321544
25,3669333.2788229226
26,3549104.295726529
27,4721359.449931264
28,3670719.4518581107
29,4811961.5413849875
30,4053369.725904682
31,2634768.4440536373
32,3695557.267916807
33,4741321.612503211
34,2335193.576839521
35,5075946.191066488
36,4662946.67068095
37,5232980.092839215
38,2704446.3293382535
39,3806402.9072578326
40,4659660.4349737065
41,4522189.107743598
42,4702908.987089868
43,4658002.432808382
44,3989446.2318731127
45,3235004.229033331
46,3459474.7405061577
47,2052774.6447786505
48,4270399.6485605
49,4763731.77563928
50,4605384.710819532
51,3273801.2317236564
52,6377198.947384818
53,2599055.478651603
54,2941758.6781981853
55,4502499.7806564495
56,6363378.124918145
57,3374416.06625221
58,3931780.767124038
59,5391653.770441416
60,1882233.1228542337
61,2792057.811562493
62,4456614.719527508
63,3817875.87296456
64,4397704.383866067
65,5750371.424852025
66,4990751.14620337
67,6620058.50168149
68,4862771.297730045
69,5031328.334958415
70,3415369.777590938
71,1921805.8670432821
72,4924811.280588543
73,3789488.502247064
74,4768400.79943661
75,4218740.494550683
76,5030143.330025729
77,4280227.494401335
78,5735550.971440984
79,4504344.143936018
80,4775386.400608647
81,5743750.534218245
82,3368697.451964603
83,4430128.539019614
84,5564973.922397338
85,1930446.2909938693
86,4724038.583195868
87,4602124.600394092
88,4169244.4732542895
89,3391186.0113608693
90,4457987.623234366
91,3504547.3470469923
92,4085666.193978528
93,3511277.5616502566
94,7419276.436438709
95,2482434.8341633463
96,4511367.808377488
97,4806890.593116543
98,3653386.125385644
99,4116927.5022693267
100,4449738.201814405
101,1915777.7702527829
102,3847593.5748888166
103,3618511.6931796
104,3033704.5670208745
105,1948962.7727878205
106,3787064.5352437873
107,5157850.264887461
108,4796092.952171218
109,4487999.354681561
110,4624856.318437388
111,3727663.8724454925
112,4111270.121356179
113,4348308.857427988
114,3692799.8042979306
115,4916854.590453606
116,3832772.249367011
117,4569040.109384552
118,4291793.058222242
119,4511349.795989883
120,4705663.490847716
121,4445872.225380337
122,4197372.677621125
123,4784519.568869113
124,3005682.5161883966
125,3745648.9600574025
126,6303765.997988049
127,3190870.017442437
128,4355182.528860625
129,4431009.63909065
130,2050991.1270515423
131,4325884.898661221
132,5792939.959515318
133,2173784.181672244
134,3934763.4910368584
135,3851561.0933376513
136,4214970.725483314
137,3716759.892988446
138,4155530.0997912427
139,4476416.235407253
140,5744394.513923621
141,2515300.9274376617
142,3991399.6744443704
143,1824973.5040420527
144,5096170.038703571
145,3559012.819842633
146,5274138.165392123
147,3137792.6356950663
148,4047265.472980355
149,4046267.640684342
150,3825050.5386469043
151,1926629.2903438585
152,5800755.460055687
153,5193282.023258002
154,3321618.484515171
155,5724328.432000768
156,5067126.712566964
157,4410007.539284551
158,3963354.8382360497
159,3772690.592739796
160,2461850.4554903153
161,4043093.033733471
162,3417620.5701097203
163,5152945.11268583
164,4615895.658490998
165,2275616.8202737663
166,3792081.3333215667
167,3468110.0771004753
168,3592471.1043646703
169,4309573.136275029
170,4442460.337890476
171,3424236.0316382204
172,3288981.048920246
173,4703350.626691282
174,4615322.141872607
175,2256833.8402500576
176,6557628.059962362
177,6832790.776234999
178,3851838.7900700257
179,3387394.803941193
180,3522949.7936244654
181,4382443.63413529
182,4607170.236078504
183,3525266.1755139497
184,5198920.382220987
185,3370811.9718419854
186,3188157.5438154223
187,5964555.051813296
188,4958602.455753474
189,4983152.790364792
190,4650802.508885614
191,3934498.9375676094
192,5487337.699739283
193,3403767.1719179987
194,5589647.648246898
195,4522116.133176111
196,3507908.155313399
197,2098755.7333887
198,4913671.65868073
199,5232298.588422723
200,3573416.3184522097
201,2830382.8158777705
202,4205254.928502503
203,6303130.7900840305
